event_id,event_start,event_end,duration_hours,wet_hours,total_areal_rainfall_mm,total_localmax_rainfall_mm,peak_areal_hourly_mm,peak_localmax_hourly_mm,duration_class,rainfall_magnitude_class,magnitude_threshold_note,response_lag_hours,window_hours_with_lag,mean_event_quality_score,median_event_quality_score,mean_observed_fraction,mean_max_missing_gap_hours,mean_flat_step_rate,mean_diff_spike_rate,low_dynamic_sensor_fraction_1cm,low_dynamic_sensor_fraction_3cm,low_dynamic_sensor_fraction_5cm
E063,2021-11-22 04:00:00,2021-11-23 08:00:00,29,24,27.287499999999998,63.2,4.4375,10.3,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,34.083333333333336,85.28805720629268,86.41593892458944,0.9393513209425104,1.5833333333333335,0.243471830044337,0.17155194566638926,0.02654867256637168,0.02654867256637168,0.035398230088495575
E069,2021-12-17 08:00:00,2021-12-17 13:00:00,6,6,0.28750000000000003,2.1,0.1,0.8,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,11.083333333333334,90.37778211279706,92.0550038197097,0.9787078315257169,0.21460176991150443,0.390863604696645,0.05597661617079092,0.10619469026548672,0.23893805309734514,0.30973451327433627
E070,2021-12-20 13:00:00,2021-12-22 07:00:00,43,40,54.4625,80.39999999999999,9.6,12.4,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,48.083333333333336,87.34685427559904,89.0775754746343,0.9783899019953681,0.5250737463126844,0.2727246749105745,0.1428559688813474,0.02654867256637168,0.02654867256637168,0.02654867256637168
E071,2021-12-23 12:00:00,2021-12-23 17:00:00,6,6,1.7500000000000002,4.0,0.675,1.4,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,11.083333333333334,89.94038682294789,90.1663695781343,0.9735844034865926,0.2853982300884956,0.2605737683572775,0.12424436742900606,0.035398230088495575,0.07964601769911504,0.1415929203539823
E077,2022-01-05 05:00:00,2022-01-05 15:00:00,11,11,11.1625,28.9,2.4125,6.9,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,16.083333333333332,60.014139104649686,35.294117647058826,0.46113989637305697,8.62315634218289,0.2646867064342091,0.16826296067262742,0.02654867256637168,0.02654867256637168,0.035398230088495575
E081,2022-01-11 07:00:00,2022-01-11 11:00:00,5,5,0.9874999999999999,2.8,0.375,1.0,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,10.083333333333334,89.48700898667059,91.59663865546219,0.9624076647407299,0.36504424778761063,0.35077543140232775,0.06697817805834032,0.07079646017699115,0.19469026548672566,0.30973451327433627
E082,2022-01-16 08:00:00,2022-01-16 23:00:00,16,12,2.7875,6.5,0.75,1.1,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,21.083333333333332,89.78349471886833,90.36725801431685,0.9694288012872084,0.5294985250737463,0.3696457295367371,0.07301378102438125,0.05309734513274336,0.10619469026548672,0.23008849557522124
E086,2022-01-20 20:00:00,2022-01-21 10:00:00,15,13,0.7,2.7000000000000006,0.2124999999999999,0.6,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,20.083333333333332,88.94029197751148,89.41176470588236,0.9656666544266147,0.5604719764011798,0.3589773815456771,0.1008472826698488,0.07964601769911504,0.1504424778761062,0.19469026548672566
E087,2022-01-22 02:00:00,2022-01-23 04:00:00,27,24,16.887499999999996,24.800000000000004,3.0,3.3,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,32.083333333333336,86.37578498576775,86.72365497923309,0.9570853924836227,0.9343657817109146,0.2867991927998616,0.14738527920521152,0.04424778761061947,0.04424778761061947,0.05309734513274336
E099,2022-01-30 04:00:00,2022-01-30 14:00:00,11,9,1.2249999999999999,3.1000000000000005,0.55,0.7,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,16.083333333333332,88.47307362144278,89.41176470588236,0.971342106469806,0.3974926253687316,0.3935775790432586,0.10021283158055029,0.07964601769911504,0.12389380530973451,0.22123893805309736
E100,2022-01-31 18:00:00,2022-02-04 07:00:00,86,80,34.4375,51.4,3.1,3.6,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,91.08333333333333,87.23963589353272,87.9827487738553,0.9649985021334477,1.778023598820059,0.3174800435922482,0.13548820839289424,0.035398230088495575,0.035398230088495575,0.035398230088495575
E102,2022-02-06 19:00:00,2022-02-07 23:00:00,29,27,16.162499999999994,23.7,4.0,4.7,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,34.083333333333336,87.86486317527657,89.32553413522271,0.9652076075902806,0.7935103244837759,0.2676677435699785,0.14680479903361485,0.04424778761061947,0.04424778761061947,0.04424778761061947
E104,2022-02-08 20:00:00,2022-02-09 08:00:00,13,13,8.9,14.9,1.8875,3.0,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,18.083333333333332,89.97733636501547,91.76871309533631,0.9678234982260102,0.4705014749262537,0.27465282458320617,0.1348485328598465,0.04424778761061947,0.061946902654867256,0.07964601769911504
