variant,variant_type,w_coverage,w_continuity,w_stability,w_plausibility,w_temporal_consistency,threshold_A,threshold_B,threshold_C,grade_exact_agreement,grade_adjacent_agreement,quadratic_weighted_kappa,score_spearman_vs_base,scenario_rank_spearman_vs_base,top_failure_same_as_base,bottom_failure_same_as_base,exact_failure_order_same_as_base,failure_order
random_weight_threshold_0008,random_weight_threshold,0.3397909888017349,0.1866072947815663,0.1811811425180776,0.0641591115104905,0.2282614623881305,84.20041035855668,76.27021387336981,59.78469631005188,0.9292035398230089,1.0,0.9672890432768853,0.9978541486459512,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0009,random_weight_threshold,0.4016996300585755,0.2087704954142401,0.1793225482822835,0.0670834239615566,0.1431239022833441,86.23613613282421,71.80834224110832,62.92385879882927,0.8053097345132744,1.0,0.906688687035508,0.9987939982700116,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0010,random_weight_threshold,0.4487552088882451,0.2778206665821134,0.0959208367921522,0.0566163845763112,0.120886903161178,83.94929274422076,74.76860049008826,56.49697232468641,0.7345132743362832,1.0,0.8757695690413368,0.980920220906248,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0011,random_weight_threshold,0.3010203920329409,0.2625416090717067,0.1897232165534679,0.0924456942285213,0.154269088113363,85.5897524774252,81.77228969443267,61.44242706599657,0.5752212389380531,1.0,0.7992746650877063,0.9978291968860206,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0012,random_weight_threshold,0.2915844156571989,0.2124445270588311,0.2304344503188328,0.0913086823136199,0.1742279246515171,84.38885306890762,75.94491661664507,54.98296502266596,0.9380530973451328,1.0,0.969141341239808,0.9995508683212456,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0013,random_weight_threshold,0.3032799574634718,0.1841308076282785,0.2880292002938963,0.1035125204758949,0.1210475141384582,83.62346487179937,73.37364243650381,58.54436500637305,0.911504424778761,1.0,0.957125512217332,0.985561248253377,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0014,random_weight_threshold,0.3623942449524062,0.1706236862449375,0.2732549604860128,0.0965692241066755,0.0971578842099679,88.26998147409,74.1506687385121,57.42692628431034,0.8407079646017699,1.0,0.9126963687870204,0.9844883225763524,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0015,random_weight_threshold,0.239903875009495,0.2168396490986569,0.2587885700899818,0.1108041481642156,0.1736637576376506,83.32794467282956,73.38701272577828,63.22133552963576,0.831858407079646,1.0,0.9254850241210564,0.9968061747288576,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0016,random_weight_threshold,0.4075209724023317,0.210517812242375,0.1712244320310021,0.0859357440680177,0.1248010392562734,87.05096840637376,71.69602384931353,61.74215513710782,0.8230088495575221,1.0,0.9109394703657,0.9985527979240136,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0017,random_weight_threshold,0.3546256362671618,0.1191831485035113,0.2195332809380312,0.1570635379117865,0.149594396379509,83.60057383677604,72.39761746987905,60.4232831449455,0.6194690265486725,1.0,0.8274564113490288,0.990709628052432,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0018,random_weight_threshold,0.2664326094646842,0.3076500493317259,0.1984884899269182,0.092041848417667,0.1353870028590044,84.42193231419455,75.05254812466603,64.74406846524293,0.7433628318584071,1.0,0.8856714230889997,0.9956417592654204,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0019,random_weight_threshold,0.3325684908008381,0.1944204574238374,0.2596726800325022,0.1153315514635787,0.0980068202792435,83.24515469194259,74.36179682354805,61.36400098973193,0.8849557522123894,1.0,0.946583760590524,0.9904102069332624,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0020,random_weight_threshold,0.3311468567058685,0.2257660645364678,0.216893150466788,0.104038085815911,0.1221558424749646,83.35130157581469,75.93510743078157,63.03356048817134,0.8584070796460177,1.0,0.9369859194200474,0.9990851021358708,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0021,random_weight_threshold,0.3978058316558991,0.1796908482717265,0.2170526048476066,0.0623309104150245,0.143119804809743,84.34366424324887,74.50979473819451,60.01705093446301,0.9292035398230089,1.0,0.967019336008756,0.99843635637767,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0022,random_weight_threshold,0.2946311079802735,0.3054499478594993,0.2203882021215161,0.0515970161565745,0.1279337258821365,85.96215221945569,75.03088672960689,54.436177578373815,0.7433628318584071,1.0,0.8667615368977435,0.9959162286246592,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0023,random_weight_threshold,0.3585146678420637,0.1819729081365952,0.165378724659888,0.1188416088832693,0.1752920904781836,87.47374921590078,74.44590868814517,60.840496678576336,0.8407079646017699,1.0,0.9177450663215788,0.9986442877104268,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0024,random_weight_threshold,0.277147808902738,0.2693674539683555,0.1914101196278254,0.1246702664996816,0.1374043510013994,86.1045829270846,78.42376968446465,59.41276801439983,0.7256637168141593,1.0,0.8648586088499672,0.9972968926741632,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0025,random_weight_threshold,0.4370920901650317,0.1616341354619736,0.1338087671756562,0.1294001382775108,0.1380648689198275,85.17078690631595,75.18211976614069,61.14834687053396,0.584070796460177,1.0,0.819052161766209,0.9961241599574155,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0026,random_weight_threshold,0.3455811313918798,0.1720463855221848,0.264254745158072,0.0859149811059805,0.1322027568218827,87.08935527481178,74.08975412363576,63.915526388701394,0.8407079646017699,1.0,0.9180499597099112,0.990243861867057,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0027,random_weight_threshold,0.3319546274876473,0.1875696504654441,0.1792520361656947,0.126932230578574,0.1742914553026398,85.13636559314611,74.41922033053736,57.77025197703954,0.7964601769911505,1.0,0.9027720623994612,0.999401157761661,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0028,random_weight_threshold,0.3206641902290923,0.2455345667415697,0.1666109902367482,0.0905348864726455,0.1766553663199441,87.87484027118079,73.61440871301429,60.71662323480796,0.7345132743362832,1.0,0.8683699619476586,0.9966814159292036,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0029,random_weight_threshold,0.3472648498800367,0.2506248759879099,0.2252640057569442,0.063149827061567,0.113696441313542,85.4040218823813,75.43586443306982,55.03302691793652,0.8761061946902655,1.0,0.9351586195589804,0.9982616940581542,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0030,random_weight_threshold,0.3938897612989632,0.1939800690382704,0.1353505938201168,0.1129907886876033,0.1637887871550464,84.49964619004896,75.33084373276033,62.394289881898246,0.7433628318584071,1.0,0.8864321608040201,0.9952175793465966,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0031,random_weight_threshold,0.2458481030496159,0.2454983097431223,0.2196947690049332,0.1029733984871331,0.1859854197151952,83.78849287040266,72.5861462935,59.2608732724713,0.8938053097345132,1.0,0.951201957679574,0.9992847162153172,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0032,random_weight_threshold,0.2805858265037384,0.1900952941941911,0.2308593034943666,0.1178930136633205,0.1805665621443834,86.44669003539488,73.01750292481711,59.10339402647834,0.9292035398230089,1.0,0.9634658907209828,0.9987108257369088,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0033,random_weight_threshold,0.2444302647443678,0.2604084238319707,0.1549318200805899,0.1575970450395231,0.1826324463035483,85.92971373157869,74.53291908923006,56.00868799232329,0.8761061946902655,1.0,0.9363738738738738,0.9955170004657664,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0034,random_weight_threshold,0.4167928590437629,0.1738451383671701,0.2171524141072892,0.0855680352266876,0.10664155325509,86.36294392145753,77.29962661623439,61.07031539134324,0.9469026548672568,1.0,0.9733301864526788,0.9965899261427906,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0035,random_weight_threshold,0.3589165563457318,0.1768904349515339,0.1754459618199972,0.1236114648683818,0.1651355820143552,81.62604941225791,77.08785414241518,57.73457965387928,0.6814159292035398,1.0,0.8677847113884556,0.9993346197351788,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0036,random_weight_threshold,0.4303396388662533,0.1929161055833962,0.1425013029862757,0.1174997203818697,0.116743232182205,84.27903931949724,73.03136236816852,52.553974640058726,0.5929203539823009,1.0,0.8096110175078749,0.9970224233149246,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0037,random_weight_threshold,0.404031321359806,0.1642661940602666,0.2128218309575899,0.0751000194087052,0.1437806342136322,88.6523387233377,75.22265679360909,60.17437621264601,0.8938053097345132,1.0,0.9430491390172197,0.9979872246989154,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0038,random_weight_threshold,0.3582724536926009,0.1637667298277674,0.1989820082077801,0.1072396519874022,0.1717391562844492,84.59462122355409,72.15249802229971,60.04630712134378,0.7522123893805309,1.0,0.8867411225658648,0.9992015436822146,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0039,random_weight_threshold,0.355930861196669,0.1727112037923596,0.1982363214018498,0.0951692927789206,0.1779523208302008,82.6922867711979,75.9684531860498,62.15968589701296,0.8938053097345132,1.0,0.9529591341150352,0.999500964801384,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
